order_id,item_id,product_id,quantity,list_price,discount,gross_sales,discount_amount,net_sales,unit_net_price,order_line_key,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,order_status_label,is_completed,is_shipped,required_lead_days,shipping_days,is_late,order_year,order_month,order_month_name,order_month_start,order_date_key,required_date_key,shipped_date_key
1,1,20,1,599.99,0.2,599.99,119.998,479.992,479.992,1-1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Completed,True,True,2,2.0,False,2016,1,Jan,2016-01-01,20160101,20160103,20160103.0
1,2,8,2,1799.99,0.07,3599.98,251.99860000000004,3347.9814,1673.9906999999998,1-2,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Completed,True,True,2,2.0,False,2016,1,Jan,2016-01-01,20160101,20160103,20160103.0
1,3,10,2,1549.0,0.05,3098.0,154.9,2943.1,1471.55,1-3,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Completed,True,True,2,2.0,False,2016,1,Jan,2016-01-01,20160101,20160103,20160103.0
1,4,16,2,599.99,0.05,1199.98,59.999,1139.981,569.9905,1-4,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Completed,True,True,2,2.0,False,2016,1,Jan,2016-01-01,20160101,20160103,20160103.0
1,5,4,1,2899.99,0.2,2899.99,579.9979999999999,2319.9919999999997,2319.9919999999997,1-5,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Completed,True,True,2,2.0,False,2016,1,Jan,2016-01-01,20160101,20160103,20160103.0
2,1,20,1,599.99,0.07,599.99,41.999300000000005,557.9907000000001,557.9907,2-1,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,Completed,True,True,3,2.0,False,2016,1,Jan,2016-01-01,20160101,20160104,20160103.0
2,2,16,2,599.99,0.05,1199.98,59.999,1139.981,569.9905,2-2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,Completed,True,True,3,2.0,False,2016,1,Jan,2016-01-01,20160101,20160104,20160103.0
3,1,3,1,999.99,0.05,999.99,49.999500000000005,949.9905,949.9905,3-1,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,Completed,True,True,3,1.0,False,2016,1,Jan,2016-01-01,20160102,20160105,20160103.0
3,2,20,1,599.99,0.05,599.99,29.9995,569.9905,569.9905,3-2,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,Completed,True,True,3,1.0,False,2016,1,Jan,2016-01-01,20160102,20160105,20160103.0
4,1,2,2,749.99,0.1,1499.98,149.99800000000002,1349.982,674.991,4-1,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,Completed,True,True,1,2.0,True,2016,1,Jan,2016-01-01,20160103,20160104,20160105.0
5,1,10,2,1549.0,0.05,3098.0,154.9,2943.1,1471.55,5-1,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,Completed,True,True,3,3.0,False,2016,1,Jan,2016-01-01,20160103,20160106,20160106.0
5,2,17,1,429.0,0.07,429.0,30.03,398.97,398.96999999999997,5-2,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,Completed,True,True,3,3.0,False,2016,1,Jan,2016-01-01,20160103,20160106,20160106.0
5,3,26,1,599.99,0.07,599.99,41.999300000000005,557.9907000000001,557.9907,5-3,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,Completed,True,True,3,3.0,False,2016,1,Jan,2016-01-01,20160103,20160106,20160106.0
6,1,18,1,449.0,0.07,449.0,31.430000000000003,417.57,417.57,6-1,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,Completed,True,True,3,1.0,False,2016,1,Jan,2016-01-01,20160104,20160107,20160105.0
6,2,12,2,549.99,0.05,1099.98,54.999,1044.981,522.4905,6-2,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,Completed,True,True,3,1.0,False,2016,1,Jan,2016-01-01,20160104,20160107,20160105.0
6,3,20,1,599.99,0.1,599.99,59.999,539.991,539.991,6-3,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,Completed,True,True,3,1.0,False,2016,1,Jan,2016-01-01,20160104,20160107,20160105.0
6,4,3,2,999.99,0.07,1999.98,139.9986,1859.9814000000001,929.9907,6-4,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,Completed,True,True,3,1.0,False,2016,1,Jan,2016-01-01,20160104,20160107,20160105.0
6,5,9,2,2999.99,0.07,5999.98,419.9986,5579.9814,2789.9907,6-5,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,Completed,True,True,3,1.0,False,2016,1,Jan,2016-01-01,20160104,20160107,20160105.0
7,1,15,1,529.99,0.07,529.99,37.09930000000001,492.8907,492.8907,7-1,324,4,2016-01-04,2016-01-07,2016-01-05,2,6,Completed,True,True,3,1.0,False,2016,1,Jan,2016-01-01,20160104,20160107,20160105.0
