store_id,product_id,quantity,stock_status,is_low_stock
1,1,27,Healthy Stock,False
1,2,5,Low Stock,True
1,3,6,Moderate Stock,False
1,4,23,Healthy Stock,False
1,5,22,Healthy Stock,False
1,6,0,Out of Stock,True
1,7,8,Moderate Stock,False
1,8,0,Out of Stock,True
1,9,11,Moderate Stock,False
1,10,15,Moderate Stock,False
1,11,8,Moderate Stock,False
1,12,16,Moderate Stock,False
1,13,13,Moderate Stock,False
1,14,8,Moderate Stock,False
1,15,3,Low Stock,True
1,16,4,Low Stock,True
1,17,2,Low Stock,True
1,18,16,Moderate Stock,False
1,19,4,Low Stock,True
1,20,26,Healthy Stock,False
1,21,24,Healthy Stock,False
1,22,29,Healthy Stock,False
1,23,9,Moderate Stock,False
1,24,10,Moderate Stock,False
1,25,10,Moderate Stock,False
1,26,16,Moderate Stock,False
1,27,21,Healthy Stock,False
1,28,20,Healthy Stock,False
1,29,13,Moderate Stock,False
1,30,30,Healthy Stock,False
1,31,2,Low Stock,True
1,32,0,Out of Stock,True
1,33,10,Moderate Stock,False
1,34,2,Low Stock,True
1,35,18,Moderate Stock,False
1,36,26,Healthy Stock,False
1,37,12,Moderate Stock,False
1,38,13,Moderate Stock,False
1,39,2,Low Stock,True
1,40,24,Healthy Stock,False
1,41,10,Moderate Stock,False
1,42,0,Out of Stock,True
1,43,2,Low Stock,True
1,44,1,Low Stock,True
1,45,15,Moderate Stock,False
1,46,19,Moderate Stock,False
1,47,21,Healthy Stock,False
1,48,5,Low Stock,True
1,49,8,Moderate Stock,False
1,50,29,Healthy Stock,False
1,51,2,Low Stock,True
1,52,18,Moderate Stock,False
1,53,17,Moderate Stock,False
1,54,11,Moderate Stock,False
1,55,11,Moderate Stock,False
1,56,15,Moderate Stock,False
1,57,1,Low Stock,True
1,58,1,Low Stock,True
1,59,22,Healthy Stock,False
1,60,19,Moderate Stock,False
1,61,30,Healthy Stock,False
1,62,21,Healthy Stock,False
1,63,4,Low Stock,True
1,64,30,Healthy Stock,False
1,65,10,Moderate Stock,False
1,66,12,Moderate Stock,False
1,67,19,Moderate Stock,False
1,68,30,Healthy Stock,False
1,69,4,Low Stock,True
1,70,3,Low Stock,True
1,71,25,Healthy Stock,False
1,72,9,Moderate Stock,False
1,73,7,Moderate Stock,False
1,74,9,Moderate Stock,False
1,75,23,Healthy Stock,False
1,76,15,Moderate Stock,False
1,77,16,Moderate Stock,False
1,78,13,Moderate Stock,False
1,79,13,Moderate Stock,False
1,80,11,Moderate Stock,False
1,81,25,Healthy Stock,False
1,82,1,Low Stock,True
1,83,13,Moderate Stock,False
1,84,11,Moderate Stock,False
1,85,23,Healthy Stock,False
1,86,19,Moderate Stock,False
1,87,27,Healthy Stock,False
1,88,7,Moderate Stock,False
1,89,9,Moderate Stock,False
1,90,4,Low Stock,True
1,91,8,Moderate Stock,False
