order_id,item_id,product_id,quantity,list_price,discount,gross_sales,discount_amount,net_sales,unit_net_price,order_line_key
1,1,20,1,599.99,0.2,599.99,119.998,479.992,479.992,1-1
1,2,8,2,1799.99,0.07,3599.98,251.99860000000004,3347.9814,1673.9906999999998,1-2
1,3,10,2,1549.0,0.05,3098.0,154.9,2943.1,1471.55,1-3
1,4,16,2,599.99,0.05,1199.98,59.999,1139.981,569.9905,1-4
1,5,4,1,2899.99,0.2,2899.99,579.9979999999999,2319.9919999999997,2319.9919999999997,1-5
2,1,20,1,599.99,0.07,599.99,41.999300000000005,557.9907000000001,557.9907,2-1
2,2,16,2,599.99,0.05,1199.98,59.999,1139.981,569.9905,2-2
3,1,3,1,999.99,0.05,999.99,49.999500000000005,949.9905,949.9905,3-1
3,2,20,1,599.99,0.05,599.99,29.9995,569.9905,569.9905,3-2
4,1,2,2,749.99,0.1,1499.98,149.99800000000002,1349.982,674.991,4-1
5,1,10,2,1549.0,0.05,3098.0,154.9,2943.1,1471.55,5-1
5,2,17,1,429.0,0.07,429.0,30.03,398.97,398.96999999999997,5-2
5,3,26,1,599.99,0.07,599.99,41.999300000000005,557.9907000000001,557.9907,5-3
6,1,18,1,449.0,0.07,449.0,31.430000000000003,417.57,417.57,6-1
6,2,12,2,549.99,0.05,1099.98,54.999,1044.981,522.4905,6-2
6,3,20,1,599.99,0.1,599.99,59.999,539.991,539.991,6-3
6,4,3,2,999.99,0.07,1999.98,139.9986,1859.9814000000001,929.9907,6-4
6,5,9,2,2999.99,0.07,5999.98,419.9986,5579.9814,2789.9907,6-5
7,1,15,1,529.99,0.07,529.99,37.09930000000001,492.8907,492.8907,7-1
7,2,3,1,999.99,0.1,999.99,99.99900000000001,899.991,899.991,7-2
7,3,17,2,429.0,0.1,858.0,85.80000000000001,772.2,386.1,7-3
8,1,22,1,269.99,0.05,269.99,13.499500000000001,256.4905,256.4905,8-1
8,2,20,2,599.99,0.07,1199.98,83.99860000000001,1115.9814000000001,557.9907,8-2
9,1,7,2,3999.99,0.1,7999.98,799.998,7199.982,3599.991,9-1
10,1,14,1,269.99,0.1,269.99,26.999000000000002,242.991,242.991,10-1
11,1,8,1,1799.99,0.05,1799.99,89.99950000000001,1709.9904999999999,1709.9904999999999,11-1
11,2,22,2,269.99,0.1,539.98,53.998000000000005,485.982,242.991,11-2
11,3,16,2,599.99,0.2,1199.98,239.996,959.984,479.992,11-3
12,1,4,2,2899.99,0.1,5799.98,579.9979999999999,5219.982,2609.991,12-1
12,2,11,1,1680.99,0.05,1680.99,84.04950000000001,1596.9405,1596.9405,12-2
13,1,13,1,269.99,0.1,269.99,26.999000000000002,242.991,242.991,13-1
13,2,17,2,429.0,0.05,858.0,42.900000000000006,815.1,407.54999999999995,13-2
13,3,20,2,599.99,0.1,1199.98,119.998,1079.982,539.991,13-3
13,4,16,2,599.99,0.05,1199.98,59.999,1139.981,569.9905,13-4
14,1,6,1,469.99,0.07,469.99,32.899300000000004,437.0907,437.09069999999997,14-1
15,1,12,2,549.99,0.07,1099.98,76.99860000000001,1022.9814,511.49069999999995,15-1
15,2,8,1,1799.99,0.07,1799.99,125.99930000000002,1673.9907,1673.9906999999998,15-2
